Miss,n.,小姐
fat,adj.,胖的
tie,n.,领带
tie,v.,绑；系
run,v.,跑
hammer,n.,锤子
find,v.,找到
lift,v.,举起；提起
lift,n.,电梯
fresh,adj.,新鲜的
chalk,n.,粉笔
medicine,n.,药
miss,v.,想念；错过
miss,v.,错过；想念
pass,v.,通过；及格
rest,n.,休息；剩余部分
rest,v.,休息
spell,v.,拼写
tramp,n.,流浪汉
ring,v.,按铃；打电话
ring,n.,戒指
overtake,v.,超车
litter,n.,垃圾
litter,v.,乱扔垃圾
piece,n.,一块；一片
ring,n.,戒指；铃声
string,n.,弦；线
shock,n.,震惊；电击
shock,v.,使震惊
turn,v.,转动；轮到
turn,n.,转弯；机会
stage,n.,舞台
boot,n.,靴子
curtain,n.,窗帘
appreciate,v.,欣赏；感激
comfortable,adj.,舒服的
desert,n.,沙漠
fantastic,adj.,极好的；奇妙的
bitterly,adv.,痛苦地；激烈地
relative,n.,亲戚
promptly,adv.,迅速地；立即
remains,n.,遗骸；残余物
snatch,v.,抢夺
sticky,adj.,粘的
vicar,n.,牧师
Endeavour,n.,奋进号
flood,n.,洪水
blacken,v.,使变黑
remote,adj.,遥远的
colony,n.,殖民地；群体
ring,n.,场地；圈
helicopter,n.,直升机
palace,n.,宫殿
peculiar,adj.,奇怪的；独特的
relieve,v.,缓解
petrol,n.,汽油
drill,v.,钻孔
advertiser,n.,广告商
chip,n.,薯片；芯片
shed,n.,小屋
site,n.,地点；场所
puma,n.,美洲狮
spot,n.,斑点；地点
spot,v.,发现；认出
evidence,n.,证据
accumulate,v.,积累；积聚
oblige,v.,迫使；帮忙
hunt,v.,打猎；搜寻
blackberry,n.,黑莓
human being,n.,人；人类
corner,n.,角落
trail,n.,踪迹；小径
print,n.,印记；印刷品
print,v.,打印；印刷
cling,v.,紧贴；依附
convince,v.,说服；使确信
somehow,adv.,不知何故；以某种方式
disturb,v.,打扰
equal,adj.,相等的；平等的
equal,v.,等于
raise,v.,举起；抚养；筹集
torchlight,n.,手电筒光；火炬光
goddess,n.,女神
archaeologist,n.,考古学家
Aegean,adj.,爱琴海的
explore,v.,探索；勘探
promontory,n.,海角
prosperous,adj.,繁荣的
civilization,n.,文明
storey,n.,楼层
drainage,n.,排水系统
worship,v.,崇拜；敬奉
sacred,adj.,神圣的
fragment,n.,碎片
remains,n.,遗迹；遗骸
classical,adj.,古典的
reconstruct,v.,重建
hip,n.,臀部；髋部
full-length,adj.,全身的；完整的
graceful,adj.,优雅的
identity,n.,身份
manual,n.,手册
manual,adj.,手工的；体力的
collar,n.,衣领
sacrifice,n.,牺牲
sacrifice,v.,牺牲
privilege,n.,特权
dustman,n.,垃圾工
corporation,n.,公司；企业
overalls,n.,工装裤
shower,n.,淋浴；阵雨
secret,n.,秘密
secret,adj.,秘密的
status,n.,地位；状态
editor,n.,编辑
extreme,adj.,极端的
statistics,n.,统计数据；统计学
journalist,n.,记者
president,n.,总统；主席
publish,v.,出版；发表
fax,n.,传真
impatient,adj.,不耐烦的
fire,n.,火
fire,v.,开火；解雇
originally,adv.,最初；原来
smash-and-grab,n.,砸橱窗抢劫
