good morning,早上好；早晨
keyboard operator,n.,键盘操作员；打字员
Mrs,n.,太太；夫人
of course,当然
the U.S,n.,美国
how long,多久
at once,立刻；马上
as well,也
a little,一点点
a few,一些；几个
at least,至少
musical instrument,n.,乐器
upside down,颠倒地
St.,Bernard,n.,圣伯纳犬
integrated circuit,n.,集成电路
current account,n.,活期账户
St.,Petersburg,n.,圣彼得堡
juvenile delinquency,n.,青少年犯罪
amaze,v.,使惊奇
amazingly,adv.,惊人地
amber,n.,琥珀
ambience,n.,氛围；环境
ambiguity,n.,模棱两可；含糊不清
ambiguous,adj.,模棱两可的；含糊的
ambulance,n.,救护车
ameliorate,v.,改善
amend,v.,修改；修正
amendment,n.,修正案；修改
amenity,n.,便利设施
amiability,n.,和蔼可亲
amiable,adj.,和蔼可亲的
amidst,prep.,在…中间
ammonia,n.,氨
amongst,prep.,在…中间
amorphous,adj.,无定形的
ampersand,n.,和号（&）
amphibian,n.,两栖动物
amphibious,adj.,两栖的
amphitheatre,n.,圆形剧场
ample,adj.,充足的；丰富的
amplifier,n.,放大器；扩音器
amplify,v.,放大；详述
amusement,n.,娱乐；乐趣
analogy,n.,类比
analytical,adj.,分析的
anatomist,n.,解剖学家
anatomy,n.,解剖学；结构
ancestral,adj.,祖先的
anecdotal,adj.,轶事的
anemia,n.,贫血
anesthesia,n.,麻醉
anesthetist,n.,麻醉师
animals,n.,动物（复数）
animate,adj.,有生命的
animate,v.,使有生气；制作动画
animation,n.,动画；活力
annotate,v.,注解
annotation,n.,注解
annoyance,n.,烦恼
annoyed,adj.,恼火的
annually,adv.,每年
antagonism,n.,敌对；对抗
antagonize,v.,使敌对
antecedent,n.,先行词；前事
antenna,n.,天线；触角
anterior,adj.,前面的
anthology,n.,选集
anthropological,adj.,人类学的
anthropology,n.,人类学
anti-pollution,adj.,防污染的
antibiotic,n.,抗生素
antibiotics,n.,抗生素
anticipatory,adj.,预期的
anticlimax,n.,反高潮；虎头蛇尾
antidote,n.,解毒剂
antifreeze,n.,防冻剂
antipathy,n.,反感；厌恶
antiquated,adj.,过时的；陈旧的
antiquity,n.,古代；古物
antiseptic,n.,消毒剂
antithetical,adj.,对立的
antonym,n.,反义词
anytime,adv.,任何时候
